timetaken_timSort,size_timSort,timetaken_powerSort,size_powerSort
10.5455496,50000,14.59360122680664,50000
93.44077110290527,554545,85.88242530822754,554545
173.16865921020508,1059090,182.92641639709473,1059090
261.4402770996094,1563636,263.8211250305176,1563636
329.4963836669922,2068181,345.5820083618164,2068181
422.0850467681885,2572727,421.98681831359863,2572727
519.7656154632568,3077272,499.5605945587158,3077272
581.5653800964355,3581818,579.8711776733398,3581818
660.9649658203125,4086363,676.3854026794434,4086363
815.3049945831299,4590909,785.6485843658447,4590909
885.0162029266357,5095454,857.9573631286621,5095454
948.3006000518799,5600000,933.1185817718506,5600000
1014.427661895752,6104545,1007.4913501739502,6104545
1089.4074440002441,6609090,1098.5326766967773,6609090
1150.033950805664,7113636,1180.3297996520996,7113636
1246.7625141143799,7618181,1241.9581413269043,7618181
1343.3737754821777,8122727,1334.4566822052002,8122727
1529.9367904663086,8627272,1539.332389831543,8627272
1570.918321609497,9131818,1566.779375076294,9131818
1669.187307357788,9636363,1659.217357635498,9636363
1782.8309535980225,10140909,1764.3203735351562,10140909
1805.2492141723633,10645454,1809.873342514038,10645454
1974.6668338775635,11150000,1892.9846286773682,11150000
1969.0756797790527,11654545,1972.9118347167969,11654545
2031.6331386566162,12159090,2046.938180923462,12159090
2133.1787109375,12663636,2116.684675216675,12663636
2228.134870529175,13168181,2233.1528663635254,13168181
2300.352096557617,13672727,2300.5402088165283,13672727
2392.23051071167,14177272,2399.3091583251953,14177272
2579.965114593506,14681818,2501.1508464813232,14681818
2557.0125579833984,15186363,2638.0221843719482,15186363
2650.0303745269775,15690909,2650.1848697662354,15690909
2820.9660053253174,16195454,2710.14404296875,16195454
2902.4600982666016,16700000,2872.075080871582,16700000
3206.71010017395,17204545,3150.908946990967,17204545
3144.071340560913,17709090,3150.820255279541,17709090
3213.203191757202,18213636,3308.722734451294,18213636
3353.5549640655518,18718181,3384.760856628418,18718181
3420.89581489563,19222727,3383.1429481506348,19222727
3525.5467891693115,19727272,3499.035120010376,19727272
3592.296600341797,20231818,3612.9531860351562,20231818
3748.4726905822754,20736363,3649.143934249878,20736363
3687.148332595825,21240909,3714.1101360321045,21240909
3826.430320739746,21745454,3823.356866836548,21745454
4020.634412765503,22250000,3981.449604034424,22250000
4549.950122833252,22754545,4963.9599323272705,22754545
4741.340398788452,23259090,4756.579637527466,23259090
4615.738391876221,23763636,4757.336854934692,23763636
4774.512529373169,24268181,4653.232097625732,24268181
4783.962249755859,24772727,4617.532253265381,24772727
4823.923826217651,25277272,4778.079509735107,25277272
4788.470268249512,25781818,4824.294328689575,25781818
4883.536338806152,26286363,4906.965494155884,26286363
5239.0899658203125,26790909,4913.615465164185,26790909
5303.118944168091,27295454,5216.2933349609375,27295454
5279.5960903167725,27800000,5284.834146499634,27800000
5345.502853393555,28304545,5411.171197891235,28304545
5455.878973007202,28809090,5550.594806671143,28809090
5476.856231689453,29313636,5539.681434631348,29313636
5609.879970550537,29818181,5584.195852279663,29818181
5721.409320831299,30322727,5728.878974914551,30322727
5835.6194496154785,30827272,5681.891918182373,30827272
5982.335090637207,31331818,5973.835468292236,31331818
5958.1756591796875,31836363,6267.842054367065,31836363
6243.933916091919,32340909,6102.388620376587,32340909
6149.010181427002,32845454,6171.163082122803,32845454
6211.849212646484,33350000,6405.975580215454,33350000
6904.1125774383545,33854545,6895.56884765625,33854545
6865.2544021606445,34359090,7056.402206420898,34359090
7038.684606552124,34863636,7156.95858001709,34863636
6904.340982437134,35368181,6929.69012260437,35368181
7500.807523727417,35872727,7112.248659133911,35872727
7349.402904510498,36377272,7209.068775177002,36377272
7217.507123947144,36881818,7588.773965835571,36881818
7252.87389755249,37386363,7365.01669883728,37386363
7479.61688041687,37890909,7502.8369426727295,37890909
7369.56787109375,38395454,7519.522666931152,38395454
7699.891567230225,38900000,7774.601459503174,38900000
7675.622224807739,39404545,7859.112024307251,39404545